               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.050279,             0.02521,           0.0066814,             0.92918,             0.89386,              0.9196,             0.42707,            0.043805,            0.017846,           0.0060373,           0.0006898,           0.0006898,           0.0006898
                  96,            0.050732,            0.024322,           0.0068753,              0.9183,             0.87656,             0.91324,             0.42254,            0.044695,            0.018793,           0.0061211,           0.0006865,           0.0006865,           0.0006865
                  97,            0.049825,            0.023734,           0.0068413,             0.93237,             0.86567,             0.90947,             0.42195,            0.043663,            0.018297,           0.0050429,           0.0006832,           0.0006832,           0.0006832
                  98,            0.050929,            0.024021,           0.0076601,             0.93214,             0.89823,             0.92988,             0.43495,            0.043167,             0.01796,           0.0044942,           0.0006799,           0.0006799,           0.0006799
                  99,            0.049073,            0.024553,            0.006727,             0.93011,             0.87943,             0.91834,              0.4326,            0.043915,            0.018002,           0.0052711,           0.0006766,           0.0006766,           0.0006766
                 100,            0.049868,            0.024446,           0.0065556,             0.92373,             0.85843,              0.9041,              0.4277,            0.043639,            0.018048,           0.0057633,           0.0006733,           0.0006733,           0.0006733
                 101,            0.048428,            0.024597,           0.0060693,             0.93847,             0.87137,             0.91791,             0.44083,            0.043562,            0.018074,           0.0055037,             0.00067,             0.00067,             0.00067
                 102,            0.049299,            0.023722,           0.0064655,             0.93303,             0.87459,             0.92088,             0.42713,            0.042828,            0.017927,            0.005274,           0.0006667,           0.0006667,           0.0006667
                 103,            0.049785,            0.023303,           0.0064273,             0.92943,             0.88005,             0.92386,             0.41225,            0.044121,            0.018399,           0.0052904,           0.0006634,           0.0006634,           0.0006634
                 104,            0.049326,            0.024412,           0.0065288,             0.93026,             0.87458,             0.91628,             0.43856,            0.043067,            0.017817,           0.0048199,           0.0006601,           0.0006601,           0.0006601
                 105,            0.049603,            0.023173,           0.0065874,              0.9178,             0.88247,             0.92373,             0.43171,            0.043719,            0.018319,           0.0052459,           0.0006568,           0.0006568,           0.0006568
                 106,             0.04895,            0.024032,           0.0061202,             0.93295,             0.87495,             0.91886,             0.42677,            0.043601,            0.017971,           0.0052687,           0.0006535,           0.0006535,           0.0006535
                 107,            0.049107,            0.024267,           0.0055998,             0.91988,             0.87962,              0.9094,             0.42625,            0.043045,             0.01783,           0.0051249,           0.0006502,           0.0006502,           0.0006502
                 108,            0.047005,            0.022546,           0.0051841,             0.90531,             0.87017,             0.89726,             0.40567,            0.044398,            0.018037,           0.0054671,           0.0006469,           0.0006469,           0.0006469
                 109,            0.048037,            0.023128,           0.0056239,              0.9188,             0.88936,             0.92499,             0.43453,            0.042811,            0.018377,           0.0066271,           0.0006436,           0.0006436,           0.0006436
                 110,            0.046956,            0.023714,            0.005559,             0.91671,             0.88476,             0.92109,             0.43997,            0.041981,            0.018235,           0.0061113,           0.0006403,           0.0006403,           0.0006403
